bhk,price,total_sqft,location,price_per_sqft
3.0,75.0,1550.0,Sheetal Vihar,483.8709677419355
2.0,41.0,1000.0,Samraat Dream Citi,410.0
2.0,53.35,970.0,Surya Prakash,550.0
2.0,55.0,1000.0,"Nashik Road, Vadner Dumala, Nashik, Maharashtra, 422401",550.0
2.0,27.0,853.0,"Nashik Road, Nashik, Maharashtra",316.5298944900352
2.0,42.0,1050.0,Gurucharni,400.0
2.0,35.5,1035.0,"Meri Colony, Meri, Nashik, Maharashtra",342.9951690821256
3.0,48.0,1375.0,Ram Sneha,349.09090909090907
2.0,32.0,850.0,"Ram Nagar, Sane Guruji Nagar, Nashik, Maharashtra",376.47058823529414
2.0,32.0,1020.0,Laxmi Residency,313.72549019607845
2.0,28.0,810.0,Krishna Baug,345.679012345679
2.0,28.0,810.0,Krishna Baug,345.679012345679
3.0,48.0,1250.0,"Nashik Road, Nashik, Maharashtra",384.0
2.0,35.0,1900.0,"Nashik Road, Nashik, Maharashtra",184.21052631578948
2.0,25.0,840.0,"Nashik Road, Nashik, Maharashtra",297.6190476190476
2.0,34.0,1100.0,Adarsh Credit Co-Operative Society-Nashik Road,309.09090909090907
1.0,25.0,713.0,"Nashik Road, Nashik, Maharashtra",350.6311360448808
2.0,40.0,950.0,"Hirawadi, Panchavati, Nashik, Maharashtra",421.05263157894734
2.0,40.0,990.0,"Anand Nagar, Upnagar, Nashik, Maharashtra",404.04040404040404
1.0,25.0,560.0,"Gandhi Nagar Airport Area, Gandhi Nagar, Nashik, Maharashtra",446.42857142857144
2.0,42.0,1050.0,"Gandhi Nagar Airport Area, Gandhi Nagar, Nashik, Maharashtra",400.0
1.0,23.04,720.0,"Deolali Gaon, Devlali, Nashik, Maharashtra",320.0
2.0,40.0,845.0,Sai Samarth Sankul,473.37278106508876
2.0,36.5,853.0,"Jagtap Nagar Road, Cidco, Nashik, Maharashtra, 422008",427.9015240328253
2.0,38.0,900.0,"Khutwad Nagar, Cidco, Nashik, Maharashtra",422.22222222222223
3.0,55.0,1250.0,"Gandharva Nagri, Sane Guruji Nagar, Nashik, Maharashtra",440.0
1.0,30.0,850.0,"Jail Road, Nashik Road, Nashik, Maharashtra, 422101",352.94117647058823
1.0,30.0,850.0,"Nashik Road, Nashik, Maharashtra",352.94117647058823
2.0,36.0,850.0,"Ayodhya Nagar, Upnagar, Nashik, Maharashtra",423.52941176470586
2.0,31.0,1395.0,"Nashik Road, Nashik, Maharashtra",222.22222222222223
2.0,35.0,1100.0,Vitthal Park,318.1818181818182
2.0,38.0,1000.0,Time Residency,380.0
1.0,17.95,610.0,"Om Nagar, Dasak, Nashik, Maharashtra",294.26229508196724
